"playerId","shortName","currentTeamId","xA90_perc","aImpact90_perc"
36,"T. Alderweireld","1624",0.387692307692308,0.508474576271186
48,"J. Vertonghen","1624",0.123076923076923,0.343220338983051
54,"C. Eriksen","1624",0.941538461538462,0.953389830508475
93,"J. Gu\u00f0munds\u00adson","1646",0.701538461538462,0.580508474576271
116,"G. Wijnaldum","1612",0.295384615384615,0.483050847457627
160,"D. Janmaat","1644",0.433846153846154,0.690677966101695
173,"R. van La Parra","1673",0.381538461538462,0.495762711864407
262,"L. Fer","10531",0.101538461538462,0.322033898305085
370,"V. van Dijk","1612",0.366153846153846,0.199152542372881
383,"D. Tadi\u0107","9",0.932307692307692,0.885593220338983
454,"P. van Aanholt","1628",0.692307692307692,0.555084745762712
466,"D. Pr\u00f6pper","1651",0.147692307692308,0.279661016949153
703,"M. Yoshida","1619",0.249230769230769,0.11864406779661
3319,"M. \u00d6zil","1609",0.981538461538462,1
3350,"F\u00e0bregas","1610",0.88,0.98728813559322
3360,"Pedro","1610",0.781538461538462,0.788135593220339
3361,"A. S\u00e1nchez","1611",0.975384615384616,0.978813559322034
3413,"Ander Herrera","1611",0.523076923076923,0.76271186440678
3560,"Nacho Monreal","1609",0.710769230769231,0.567796610169492
3577,"S. Rond\u00f3n","1613",0.406153846153846,0.258474576271186
3802,"Philippe Coutinho","676",0.990769230769231,0.974576271186441
3928,"Vicente Iborra","1631",0.0492307692307692,0.241525423728814
4908,"Alberto Moreno","1612",0.793846153846154,0.652542372881356
7868,"A. Oxlade-Chamberlain","1612",0.803076923076923,0.915254237288136
7870,"A. Ramsey","1609",0.886153846153846,0.927966101694915
7873,"J. Wilshere","1633",0.846153846153846,0.936440677966102
7885,"R. Bertrand","1619",0.766153846153846,0.639830508474576
7899,"Oriol Romeu","1619",0.436923076923077,0.402542372881356
7905,"R. Lukaku","1611",0.796923076923077,0.461864406779661
7906,"Juan Mata","1611",0.84,0.957627118644068
7929,"T. Cleverley","1644",0.353846153846154,0.75
7932,"D. Fletcher","1639",0.175384615384615,0.364406779661017
7934,"J. Lingard","1611",0.76,0.800847457627119
7936,"P. Pogba","1611",0.904615384615384,0.966101694915254
7938,"A. Valencia","1611",0.729230769230769,0.716101694915254
7939,"A. Young","1611",0.775384615384615,0.754237288135593
7944,"W. Rooney","7852",0.56,0.576271186440678
7964,"J. Henderson","1612",0.547692307692308,0.894067796610169
7967,"J. Shelvey","1613",0.421538461538462,0.673728813559322
7988,"Y. Cabaye","16928",0.68,0.601694915254237
7989,"D. Gosling","1659",0.467692307692308,0.419491525423729
8004,"C. Clark","1613",0.0769230769230769,0.114406779661017
8013,"M. Albrighton","1631",0.849230769230769,0.63135593220339
8032,"Marcos Alonso","1610",0.556923076923077,0.627118644067797
